PropertyID,State,Peril,InsuredValue_USD,ConstructionType,OccupancyType,YearBuilt,TotalDamage_USD,HazardScore,Loss_Ratio,Loss_Amount_USD
P00021,TEXAS,Wildfire,1972506.520807453,Concrete,Residential,1952,250000.0,0.805792388206018,0.13852496095247188,273241.3887733486
P00022,WISCONSIN,Earthquake,4183344.5404757415,Steel,Commercial,2002,250000.0,0.805792388206018,0.12497180791735661,522800.13036445685
P00023,PENNSYLVANIA,Wildfire,1804356.238551962,Masonry,Residential,1975,250000.0,0.805792388206018,0.28348799092376437,511513.3249778562
P00024,PENNSYLVANIA,Earthquake,267847.4107705359,Wood,Residential,1953,250000.0,0.805792388206018,0.45019591559003197,120583.81033026079
P00025,NEBRASKA,Flood,1443973.8435031464,Steel,Commercial,1965,250000.0,0.805792388206018,0.07252661919014235,104726.54106827891
P00026,INDIANA,Tornado,4950733.489371044,Steel,Commercial,2021,17341000.0,1.0806324212221268,0.15892648729541428,786802.6830015092
P00027,FLORIDA,Earthquake,3415676.902762828,Concrete,Commercial,2003,250000.0,0.805792388206018,0.07191324178419808,245632.39896508408
P00028,MISSOURI,Tornado,4514188.666887927,Masonry,Residential,1965,1671446000.0,1.3768021148949532,0.557046184489804,2514611.5729570347
P00029,ARKANSAS,Wildfire,3896839.810755427,Wood,Commercial,1980,250000.0,0.805792388206018,0.17659140076625504,688148.400743009
P00030,NEBRASKA,Flood,2744557.0251004905,Steel,Commercial,1951,250000.0,0.805792388206018,0.12219510846077554,335371.4433589379
P00031,TENNESSEE,Earthquake,828575.4747354034,Steel,Industrial,2022,250000.0,0.805792388206018,0.09809605847600168,81279.988221425
P00032,MISSISSIPPI,Wildfire,1808357.9439430165,Steel,Industrial,1994,250000.0,0.805792388206018,0.0760753579320801,137571.47785478542
P00033,TENNESSEE,Hurricane,2960327.103843689,Wood,Industrial,2003,250000.0,0.805792388206018,0.15462744990704752,457747.83095806505
P00034,WASHINGTON,Wildfire,4366098.508786761,Steel,Commercial,2008,250000.0,0.805792388206018,0.14007758630878533,611592.5406972364
P00035,KENTUCKY,Tornado,1416507.7247380083,Steel,Residential,2008,275000.0,0.8119713699260559,0.09777315158027683,138496.42448544235
P00036,ALABAMA,Flood,694011.6597671247,Wood,Industrial,1971,0.0,0.0,0.0,0.0
P00037,WASHINGTON,Flood,2838278.3560186056,Steel,Residential,1983,25500.0,0.6578007741111218,0.0804130184251231,228234.52973815225
P00038,MISSISSIPPI,Wildfire,964855.9903384728,Wood,Industrial,2022,250000.0,0.805792388206018,0.2002598215290378,193221.88842640555
P00039,CALIFORNIA,Hurricane,3090772.6696773428,Concrete,Industrial,2005,250000.0,0.805792388206018,0.06231736958857014,192608.82277053458
P00040,FLORIDA,Tornado,1391255.0681702867,Wood,Residential,1983,4119000.0,0.987440993520853,0.5046490782786249,702095.5878026007
P00041,PENNSYLVANIA,Wildfire,1231718.7210730608,Concrete,Industrial,1975,250000.0,0.805792388206018,0.044473288040567396,54778.58146724152
P00042,TENNESSEE,Wildfire,2055985.7484455665,Wood,Residential,2020,250000.0,0.805792388206018,0.49667502839400185,1021156.7799868649
P00043,INDIANA,Flood,3006639.612033935,Masonry,Commercial,1994,5000.0,0.5521867402939868,0.10428619992732106,313551.01968997397
P00044,OHIO,Tornado,2772056.597451634,Steel,Commercial,1970,1948500.0,0.9389121136918566,0.16689781801175546,462650.19751976884
P00045,PENNSYLVANIA,Hurricane,1299198.9384514047,Concrete,Residential,1992,250000.0,0.805792388206018,0.13712489360874985,178152.5162117496
P00046,MISSOURI,Flood,4466471.704821543,Steel,Residential,1988,250000.0,0.805792388206018,0.1315746170728817,587674.3042287556
P00047,ALABAMA,Wildfire,638421.651702485,Steel,Commercial,1962,250000.0,0.805792388206018,0.06391628762116154,40805.54191379305
P00048,PUERTO RICO,Flood,293391.059064243,Wood,Residential,1991,125500.0,0.7611143814294813,0.18855216872466563,55319.52047098948
P00049,KENTUCKY,Flood,3053260.720090368,Masonry,Commercial,1994,5019050.0,1.000253456363957,0.20634727722451418,630032.036247207
P00050,WASHINGTON,Earthquake,704695.1235208347,Wood,Commercial,2000,250000.0,0.805792388206018,0.28500734065232725,200843.28312533637
P00051,OHIO,Flood,2573964.9899669094,Steel,Residential,1966,5000.0,0.5521867402939868,0.0671948231798144,172957.12237185924
P00052,KENTUCKY,Flood,4763689.093607199,Wood,Industrial,2012,5019050.0,1.000253456363957,0.17186784705238986,818724.9885452199
P00053,CALIFORNIA,Tornado,3523043.3301186715,Concrete,Residential,1956,20000.0,0.6420511543572192,0.08710308432952844,306867.94027990935
P00054,ILLINOIS,Flood,3125537.243949026,Masonry,Commercial,2004,5000.0,0.5521867402939868,0.10611574374184984,331668.70923450246
P00055,TEXAS,Hurricane,2916545.6018741755,Steel,Industrial,1953,250000.0,0.805792388206018,0.08005394277271854,233480.9747064592
P00056,KENTUCKY,Wildfire,979742.3357780046,Wood,Industrial,1980,250000.0,0.805792388206018,0.19906068967617963,195028.18506492075
P00057,WASHINGTON,Tornado,2219974.340677711,Concrete,Commercial,2005,250000.0,0.805792388206018,0.056772592245220424,126033.69803814775
P00058,INDIANA,Flood,1778365.1860971362,Masonry,Industrial,1953,5000.0,0.5521867402939868,0.10651403070782489,189420.8440416771
P00059,CALIFORNIA,Hurricane,4770064.178888107,Wood,Industrial,1989,250000.0,0.805792388206018,0.20354450129464732,970920.3344352411
P00060,TEXAS,Wildfire,1287369.1337165525,Wood,Residential,1996,250000.0,0.805792388206018,0.40190696791857033,517402.62512397615
P00061,KENTUCKY,Tornado,2410430.219840652,Steel,Commercial,1999,275000.0,0.8119713699260559,0.06328344307289162,152540.32359846352
P00062,ALABAMA,Hurricane,4696588.880053625,Concrete,Industrial,1972,250000.0,0.805792388206018,0.04710189770339278,221218.2489831779
P00063,WISCONSIN,Flood,3966985.1969526433,Masonry,Commercial,2000,6000.0,0.5640045748420413,0.12150609065539286,482012.8629695294
P00064,PENNSYLVANIA,Earthquake,4826124.672493673,Wood,Residential,1987,250000.0,0.805792388206018,0.2458329239019497,1186420.339354459
P00065,OHIO,Earthquake,3080818.250220256,Masonry,Residential,1958,250000.0,0.805792388206018,0.3042431341719362,937317.8002611111
P00066,ALABAMA,Tornado,1735555.588255077,Concrete,Residential,2010,7450000.0,1.0258597670819702,0.07645700348226961,132695.3796548909
P00067,OHIO,Hurricane,4150583.899773889,Steel,Industrial,1970,250000.0,0.805792388206018,0.0471285200479891,195610.8765313545
P00068,WISCONSIN,Wildfire,1528135.729729516,Steel,Residential,1958,250000.0,0.805792388206018,0.1324702325476186,202432.49548159385
P00069,VIRGINIA,Hurricane,907386.729368241,Steel,Commercial,1974,250000.0,0.805792388206018,0.06143472055134718,55745.05015073878
P00070,WASHINGTON,Earthquake,3560815.188791136,Masonry,Residential,1985,250000.0,0.805792388206018,0.1236836405750111,440414.58596448315
P00071,PENNSYLVANIA,Tornado,3230882.751318361,Masonry,Industrial,1992,875000.0,0.887009435293078,0.12126331663712357,391787.5580905394
P00072,VIRGINIA,Flood,4406849.622717437,Wood,Residential,1977,66000.0,0.7194514692795484,0.34705756032423113,1529430.4787760722
P00073,MISSISSIPPI,Hurricane,4813431.313298648,Concrete,Industrial,2013,250000.0,0.805792388206018,0.04811249201737072,231586.1756372435
P00074,PENNSYLVANIA,Earthquake,4300268.177400315,Concrete,Commercial,1994,250000.0,0.805792388206018,0.035595375778436696,153069.66172261728
P00075,VIRGINIA,Wildfire,394106.80818252667,Concrete,Residential,2005,250000.0,0.805792388206018,0.07082579918688947,27912.929654521602
P00076,WEST VIRGINIA,Tornado,3356115.821613114,Masonry,Residential,1997,250000.0,0.805792388206018,0.2476236978360288,831053.8101138412
P00077,TENNESSEE,Flood,3945188.823033824,Steel,Commercial,1957,4350000.0,0.990978496017681,0.14723079766260153,580853.29734485
P00078,MISSISSIPPI,Hurricane,4911450.749315865,Concrete,Commercial,1963,250000.0,0.805792388206018,0.08341027526455301,409665.4589487315
P00079,WEST VIRGINIA,Wildfire,1935840.367611905,Wood,Industrial,1964,250000.0,0.805792388206018,0.17249386560658622,333920.58820665244
P00080,INDIANA,Flood,932419.7776286246,Masonry,Residential,1988,5000.0,0.5521867402939868,0.18986291480368725,177031.93680117655
P00081,OHIO,Earthquake,4279372.002806384,Steel,Residential,1974,250000.0,0.805792388206018,0.20355534402348072,871089.0402357052
P00082,OKLAHOMA,Earthquake,1655587.0437995212,Concrete,Residential,2012,250000.0,0.805792388206018,0.05465194117026716,90481.04571998795
P00083,NEBRASKA,Wildfire,3031189.2893899083,Steel,Residential,2008,250000.0,0.805792388206018,0.08690556291757864,263427.2115041652
P00084,PUERTO RICO,Earthquake,2010484.3446436992,Wood,Commercial,1978,250000.0,0.805792388206018,0.21611418211134156,434494.1797903296
P00085,OHIO,Tornado,2071398.6581174398,Concrete,Residential,1952,1948500.0,0.9389121136918566,0.1250331959368965,258993.5942838223
P00086,MISSOURI,Wildfire,3689075.947969513,Concrete,Residential,1988,250000.0,0.805792388206018,0.04879564630296916,180010.84514191104
P00087,MISSOURI,Earthquake,1871228.1141656993,Steel,Residential,1971,250000.0,0.805792388206018,0.1381601149730335,258529.09139390566
P00088,WEST VIRGINIA,Hurricane,3496068.053555386,Masonry,Industrial,1990,250000.0,0.805792388206018,0.08131584050951532,284285.7122533214
P00089,ARKANSAS,Earthquake,170209.4317162803,Steel,Industrial,1969,250000.0,0.805792388206018,0.08304449442758052,14134.956203684285
P00090,TEXAS,Tornado,1690772.2110189924,Wood,Industrial,1968,14557500.0,1.0692892058341545,0.17239558533466082,291481.66498619784
P00091,TENNESSEE,Flood,1663315.753632947,Steel,Commercial,1962,4350000.0,0.990978496017681,0.16671486446175385,277299.46042401675
P00092,MISSISSIPPI,Flood,3769292.900893913,Steel,Commercial,1968,8000.0,0.5826524425881384,0.039423250631841746,148597.77873676256
P00093,TENNESSEE,Earthquake,1641329.8685255765,Concrete,Commercial,2015,250000.0,0.805792388206018,0.08439586175623247,138521.44868045978
P00094,MISSISSIPPI,Flood,3203302.948588907,Masonry,Residential,2014,8000.0,0.5826524425881384,0.1559750483195174,499635.33218820725
P00095,OHIO,Earthquake,3473769.5703285374,Masonry,Residential,1952,250000.0,0.805792388206018,0.3280769008927309,1139663.55504886
P00096,INDIANA,Tornado,3326285.1665658643,Masonry,Commercial,1973,17341000.0,1.0806324212221268,0.2842328256229716,945439.4317207923
P00097,CALIFORNIA,Flood,3056139.0371384565,Masonry,Industrial,1987,65150.0,0.7186111209078194,0.07968959280882981,243542.4754367328
P00098,WEST VIRGINIA,Hurricane,2126722.561812034,Steel,Residential,1951,250000.0,0.805792388206018,0.07985579631402195,169831.12371249674
P00099,WISCONSIN,Earthquake,1929194.3906506712,Concrete,Industrial,2005,250000.0,0.805792388206018,0.057800523195172905,111508.44512480158
P00100,ARKANSAS,Flood,2866461.886041859,Concrete,Residential,1986,0.0,0.0,0.0,0.0
P00101,MISSOURI,Tornado,412145.2021731989,Masonry,Residential,1953,1671446000.0,1.3768021148949532,0.5908575621347223,243519.10940157855
P00102,INDIANA,Tornado,4391517.226052478,Steel,Industrial,1993,17341000.0,1.0806324212221268,0.05516710108903431,242267.27474387258
P00103,OHIO,Hurricane,4144044.2008486814,Masonry,Commercial,1994,250000.0,0.805792388206018,0.1327913712139134,550293.3118017623
P00104,MISSOURI,Tornado,1797285.1134822292,Masonry,Industrial,1996,1671446000.0,1.3768021148949532,0.10587243565909504,190282.95253819664
P00105,WEST VIRGINIA,Tornado,2877413.704589593,Concrete,Commercial,1975,250000.0,0.805792388206018,0.05266785435066428,151547.20589993004
P00106,MISSOURI,Flood,4667915.72110387,Concrete,Commercial,1958,250000.0,0.805792388206018,0.06712306550075209,313324.8126996455
P00107,ARKANSAS,Earthquake,1431020.3073192737,Masonry,Residential,1997,250000.0,0.805792388206018,0.27917383748673125,399503.4307157631
P00108,PENNSYLVANIA,Wildfire,3738030.8117047814,Steel,Residential,1980,250000.0,0.805792388206018,0.17788518754941038,664940.3120055797
P00109,ALABAMA,Tornado,505385.85587292525,Masonry,Residential,2004,7450000.0,1.0258597670819702,0.4103798708056062,207400.18224011175
P00110,MISSOURI,Tornado,2664523.522607758,Concrete,Commercial,1950,1671446000.0,1.3768021148949532,0.06727431040360005,179253.98253760816
P00111,WEST VIRGINIA,Wildfire,4431448.734291758,Concrete,Commercial,2008,250000.0,0.805792388206018,0.08134458947156158,360474.37805523427
P00112,ARKANSAS,Tornado,2803375.4923304603,Steel,Industrial,1960,13818000.0,1.065909318292665,0.07467034786325162,209329.02320362974
P00113,ALABAMA,Flood,3119638.851501797,Masonry,Residential,1951,0.0,0.0,0.0,0.0
P00114,TENNESSEE,Flood,4547432.537216766,Masonry,Residential,1995,4350000.0,0.990978496017681,0.22762433451621467,1035106.3050413479
P00115,MISSISSIPPI,Wildfire,3605267.136244034,Wood,Commercial,1950,250000.0,0.805792388206018,0.3063929362430366,1104628.3838143335
P00116,PENNSYLVANIA,Tornado,3509761.433098901,Masonry,Residential,2019,875000.0,0.887009435293078,0.3000021182668498,1052935.8645409648
P00117,PENNSYLVANIA,Tornado,2973281.708255202,Steel,Commercial,2020,875000.0,0.887009435293078,0.11680652849026117,347298.7145648837
P00118,TEXAS,Earthquake,3201644.20954285,Concrete,Industrial,2015,250000.0,0.805792388206018,0.052439530337434426,167892.71865599355
P00119,VIRGINIA,Tornado,4038156.5776814246,Wood,Industrial,1951,64000.0,0.7174565583833813,0.13689916559125342,552820.2660114185
P00120,NEBRASKA,Flood,4898242.108156498,Steel,Residential,2018,250000.0,0.805792388206018,0.13300475387131006,651489.4859974418
P00121,TENNESSEE,Hurricane,3997094.234640121,Steel,Industrial,1962,250000.0,0.805792388206018,0.04701734219065617,187932.7473983735
P00122,PUERTO RICO,Hurricane,3566930.4749722816,Wood,Residential,1968,250000.0,0.805792388206018,0.28178354985283816,1005102.3313159596
P00123,FLORIDA,Hurricane,764169.9296964228,Masonry,Residential,1996,250000.0,0.805792388206018,0.24464633884794135,186951.37555791857
P00124,KENTUCKY,Hurricane,4103693.8984642965,Wood,Commercial,1950,250000.0,0.805792388206018,0.24954177939759978,1024043.0775258536
P00125,ARKANSAS,Tornado,3706372.400253645,Steel,Commercial,1967,13818000.0,1.065909318292665,0.07311780440803749,271001.8122250945
P00126,TENNESSEE,Tornado,3875117.757466046,Masonry,Residential,1981,23865000.0,1.1013353429655577,0.27549140607333306,1067561.6397040624
P00127,VIRGINIA,Earthquake,1232372.7433922284,Concrete,Industrial,2021,250000.0,0.805792388206018,0.040583932146813134,50014.53179741215
P00128,PENNSYLVANIA,Tornado,4526874.113050546,Wood,Industrial,1960,875000.0,0.887009435293078,0.18907913734259235,855937.4521541101
P00129,OKLAHOMA,Hurricane,576678.7048996247,Steel,Residential,1969,250000.0,0.805792388206018,0.17550658700777533,101210.91129699718
P00130,KENTUCKY,Wildfire,1342699.072890538,Masonry,Residential,1957,250000.0,0.805792388206018,0.27442854866749034,368474.95787053515
P00131,VIRGINIA,Wildfire,3348814.8477895684,Steel,Industrial,1987,250000.0,0.805792388206018,0.07766200313606401,260075.6692111312
P00132,TENNESSEE,Flood,3401200.872771974,Masonry,Industrial,1955,4350000.0,0.990978496017681,0.11764183188517002,400123.50128233415
P00133,NEBRASKA,Flood,1635290.3748740416,Masonry,Commercial,1951,250000.0,0.805792388206018,0.21580029889952643,352896.1516853368
P00134,CALIFORNIA,Tornado,3537446.9078478925,Wood,Commercial,2023,20000.0,0.6420511543572192,0.23106260282303198,817371.6898756202
P00135,TEXAS,Wildfire,2000859.634508873,Concrete,Industrial,2022,250000.0,0.805792388206018,0.03305099906486363,66130.40990907616
P00136,VIRGINIA,Hurricane,100860.02770382419,Masonry,Commercial,2004,250000.0,0.805792388206018,0.1861592451559577,18776.026623752892
P00137,ILLINOIS,Hurricane,896770.0482081793,Steel,Commercial,1952,250000.0,0.805792388206018,0.13601658660430077,121975.6009262508
P00138,INDIANA,Hurricane,4424829.548569054,Masonry,Residential,2015,250000.0,0.805792388206018,0.22617011979495413,1000764.2290721158
P00139,INDIANA,Tornado,1191200.6574741523,Concrete,Commercial,2021,17341000.0,1.0806324212221268,0.123172149387824,146722.74533328044
P00140,FLORIDA,Tornado,653260.660408492,Steel,Commercial,2022,4119000.0,0.987440993520853,0.061849011563542465,40403.52613961221
P00141,OKLAHOMA,Earthquake,3442782.9690726534,Masonry,Residential,1975,250000.0,0.805792388206018,0.24566353668323557,845766.2402151985
P00142,TENNESSEE,Hurricane,2259461.567807707,Masonry,Industrial,1997,250000.0,0.805792388206018,0.09140949495475724,206536.24078298648
P00143,WEST VIRGINIA,Hurricane,4003295.588348457,Wood,Commercial,1957,250000.0,0.805792388206018,0.1719593761082164,688404.2117491758
P00144,WEST VIRGINIA,Tornado,4321080.179372362,Concrete,Commercial,2016,250000.0,0.805792388206018,0.0888013637334725,383717.8127299437
P00145,FLORIDA,Tornado,4245345.499197435,Masonry,Industrial,2018,4119000.0,0.987440993520853,0.12019617621673738,510274.29572246777
P00146,VIRGINIA,Earthquake,1633745.174064777,Concrete,Commercial,1979,250000.0,0.805792388206018,0.03373570573929718,55115.54644524617
P00147,MISSISSIPPI,Earthquake,2577175.0960440044,Masonry,Industrial,1976,250000.0,0.805792388206018,0.12566598452664293,323863.24574191537
P00148,MISSOURI,Flood,3285694.499770124,Steel,Residential,1992,250000.0,0.805792388206018,0.2133378439366279,700962.9804153955
P00149,TENNESSEE,Wildfire,1677717.1276922072,Concrete,Industrial,1954,250000.0,0.805792388206018,0.02799784436436161,46972.46302855021
P00150,ILLINOIS,Hurricane,301386.64522978885,Steel,Industrial,1969,250000.0,0.805792388206018,0.0570235025902789,17186.122144936333
P00151,OHIO,Hurricane,2528755.4732549037,Concrete,Industrial,2001,250000.0,0.805792388206018,0.04687309681894638,118530.60012931767
P00152,MISSISSIPPI,Earthquake,162809.8339814091,Steel,Residential,1970,250000.0,0.805792388206018,0.19297633420346685,31418.444934007355
P00153,ARKANSAS,Earthquake,4758163.561157141,Masonry,Industrial,1952,250000.0,0.805792388206018,0.09293547860189737,442202.20782224723
P00154,WEST VIRGINIA,Flood,4003749.8657578295,Steel,Industrial,1990,10108550.0,1.045643926593353,0.07939749235585003,317887.6993612429
P00155,NEBRASKA,Wildfire,1040847.9049656132,Steel,Residential,2013,250000.0,0.805792388206018,0.12828947719541756,133529.83356798417
P00156,TEXAS,Flood,1509101.569570449,Masonry,Commercial,2017,106000.0,0.7501667685028206,0.1319744579154248,199162.86158337674
P00157,INDIANA,Wildfire,4915908.885295248,Concrete,Commercial,2020,250000.0,0.805792388206018,0.04514662969035267,221936.71803593895
P00158,PENNSYLVANIA,Hurricane,1930387.9152923916,Steel,Industrial,1973,250000.0,0.805792388206018,0.1026659512495283,198185.11160408726
P00159,MISSISSIPPI,Flood,3940239.551426072,Wood,Residential,2001,8000.0,0.5826524425881384,0.3163932847902543,1246665.3345361731
P00160,FLORIDA,Earthquake,2289395.7952543464,Wood,Residential,1951,250000.0,0.805792388206018,0.4994059222021604,1143337.8184147454
P00161,PUERTO RICO,Flood,4334070.02809299,Steel,Industrial,1993,125500.0,0.7611143814294813,0.059663327782400515,258585.04071798985
P00162,PUERTO RICO,Flood,3548392.189991394,Steel,Industrial,1990,125500.0,0.7611143814294813,0.03735288843056025,132542.6975806199
P00163,FLORIDA,Hurricane,212259.2934666808,Steel,Commercial,2019,250000.0,0.805792388206018,0.059515930782514846,12632.80941790848
P00164,INDIANA,Earthquake,1542510.4411022624,Concrete,Commercial,1956,250000.0,0.805792388206018,0.05527630215973821,85264.27322691971
P00165,TENNESSEE,Earthquake,2834162.3429779173,Masonry,Industrial,1987,250000.0,0.805792388206018,0.1705537069061327,483376.893568654
P00166,CALIFORNIA,Tornado,4638252.815941794,Wood,Residential,1994,20000.0,0.6420511543572192,0.39939150860167894,1852478.7894349785
P00167,MISSOURI,Tornado,599946.4837433028,Wood,Industrial,1958,1671446000.0,1.3768021148949532,0.38222696643658305,229315.7245054974
P00168,PUERTO RICO,Tornado,3045696.434784228,Concrete,Residential,2002,250000.0,0.805792388206018,0.07140211494934351,217469.16693726915
P00169,ARKANSAS,Hurricane,1580665.983922022,Steel,Commercial,1977,250000.0,0.805792388206018,0.11213723695105544,177251.51597953695
P00170,PUERTO RICO,Flood,4457706.131895257,Steel,Industrial,1968,125500.0,0.7611143814294813,0.0751179213609883,334853.6186661033
P00171,PUERTO RICO,Earthquake,3849331.087326715,Masonry,Residential,2017,250000.0,0.805792388206018,0.31988000318423304,1231324.0404712367
P00172,PUERTO RICO,Earthquake,1911543.3378454982,Masonry,Commercial,1953,250000.0,0.805792388206018,0.16272966838242386,311064.81346622953
P00173,CALIFORNIA,Flood,918805.503152207,Wood,Industrial,1962,65150.0,0.7186111209078194,0.12346261628638266,113438.1312774977
P00174,CALIFORNIA,Earthquake,156340.06474675908,Masonry,Industrial,1960,250000.0,0.805792388206018,0.06276449192733907,9812.604731717627
P00175,ARKANSAS,Flood,3143558.8082925486,Wood,Commercial,1951,0.0,0.0,0.0,0.0
P00176,WEST VIRGINIA,Hurricane,2090006.6573930946,Concrete,Industrial,2019,250000.0,0.805792388206018,0.0498099756879991,104103.1807925063
P00177,WEST VIRGINIA,Hurricane,1642306.8150177686,Steel,Commercial,1961,250000.0,0.805792388206018,0.10000083802279107,164232.0577923178
P00178,NEBRASKA,Hurricane,4928961.229020494,Steel,Residential,1986,250000.0,0.805792388206018,0.21133615233231434,1041667.7011363464
P00179,CALIFORNIA,Flood,2384096.4642455443,Wood,Industrial,2005,65150.0,0.7186111209078194,0.14882994472325384,354824.9449885693
P00180,INDIANA,Flood,3774212.4898625785,Steel,Commercial,2001,5000.0,0.5521867402939868,0.054056961442393324,204022.4590399007
P00181,ILLINOIS,Wildfire,969320.8445310576,Concrete,Commercial,2022,250000.0,0.805792388206018,0.05413880332534069,52477.87056122007
P00182,KENTUCKY,Earthquake,165930.7629348875,Masonry,Residential,1953,250000.0,0.805792388206018,0.12370852585765822,20527.050077111486
P00183,OKLAHOMA,Earthquake,2146056.8352952786,Concrete,Industrial,1953,250000.0,0.805792388206018,0.030089143543815734,64573.01217038656
P00184,PUERTO RICO,Wildfire,3361757.6912190425,Steel,Commercial,1998,250000.0,0.805792388206018,0.0525836354503881,176773.44090760048
P00185,ILLINOIS,Wildfire,2582333.6112989513,Concrete,Commercial,2001,250000.0,0.805792388206018,0.0479130701302816,123727.53141795
P00186,ARKANSAS,Hurricane,4463284.662359516,Steel,Commercial,1983,250000.0,0.805792388206018,0.0545991059030206,243691.35195549476
P00187,FLORIDA,Wildfire,2226498.8208171073,Wood,Industrial,1971,250000.0,0.805792388206018,0.14063850383591067,313131.46295213734
P00188,CALIFORNIA,Flood,1623913.7844501468,Masonry,Industrial,1962,65150.0,0.7186111209078194,0.06749154491505761,109600.45012139827
P00189,ILLINOIS,Tornado,4588638.5134174535,Masonry,Residential,2012,5091000.0,1.001176227529096,0.42587605230708203,1954191.2555584626
P00190,OKLAHOMA,Flood,2093331.1653084664,Steel,Residential,1964,150000.0,0.7726754875441604,0.20005271810711606,418776.58951829537
P00191,WISCONSIN,Wildfire,1421274.522034097,Steel,Residential,1989,250000.0,0.805792388206018,0.16004822600014468,227472.46591076077
P00192,WISCONSIN,Earthquake,578539.276369394,Masonry,Industrial,1987,250000.0,0.805792388206018,0.15779281405397186,91289.34045907523
P00193,WEST VIRGINIA,Flood,3987217.888757522,Concrete,Commercial,2004,10108550.0,1.045643926593353,0.09847550655211341,392643.3013290452
P00194,MISSISSIPPI,Earthquake,4142948.1579094315,Concrete,Industrial,1993,250000.0,0.805792388206018,0.06338889380725482,262616.90083068295
P00195,ILLINOIS,Flood,263159.1394693428,Concrete,Industrial,2015,5000.0,0.5521867402939868,0.037763185435626116,9937.727382860587
P00196,WISCONSIN,Earthquake,1857363.4321674714,Masonry,Industrial,2015,250000.0,0.805792388206018,0.11243144704028721,208826.05835830315
P00197,MISSOURI,Flood,3774394.6275300025,Wood,Residential,1992,250000.0,0.805792388206018,0.4649235716687558,1754805.031118612
P00198,FLORIDA,Earthquake,4737271.052691464,Steel,Commercial,2021,250000.0,0.805792388206018,0.09070641076343854,429700.8540031788
P00199,KENTUCKY,Tornado,1951309.5908400347,Steel,Industrial,1987,275000.0,0.8119713699260559,0.06549289944530479,127796.92281954522
P00200,NEBRASKA,Hurricane,4373061.813759519,Masonry,Residential,1978,250000.0,0.805792388206018,0.2718058132149028,1188623.622527944
P00201,MISSOURI,Flood,2029229.992007756,Wood,Industrial,2005,250000.0,0.805792388206018,0.2433216449802601,493755.5796986072
P00202,NEBRASKA,Tornado,979523.6734889756,Masonry,Commercial,1955,2905000.0,0.9648036837947814,0.1818081544302258,178085.39129774575
P00203,FLORIDA,Hurricane,116886.10450666149,Concrete,Residential,1958,250000.0,0.805792388206018,0.10394187770089826,12149.361179565822
